SampleID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
bacitracin__bcrA	0.000289597	0.000170402	0	0	0.000234494	0.000150732	0.000206899	0.000123376	0	0.0000553	0.000352112	0.000289298	0	0.0000553	0.0000846	0.000447052	0.000129028	0.000049	0.000137374	0.000129276
betalactam__ACT20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__AER1	0.000451472	0.000735654	0.000257834	0	0.000414695	0.000256034	0.00066998	0.000186281	0	0.0000984	0.001568378	0.000963317	0.000740792	0.000102428	0.00126181	0.001557019	0.000392663	0.000371988	0.000838306	0.000479843
betalactam__BEL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__CARB12	0	0.000192656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__CARB3	0	0	0	0	0	0	0	0	0	0	0.0000952	0	0	0	0	0	0	0	0	0
betalactam__CARB5	0.000185348	0.000283087	0.000397222	0	0	0	0	0	0	0	0	0.00018891	0	0	0	0	0	0	0	0
betalactam__CARB6	0	0.000192656	0	0	0	0.000396378	0	0	0	0	0	0.000388964	0	0	0	0	0	0	0	0
betalactam__CARB7	0	0	0	0	0	0	0	0	0.000183746	0	0	0	0	0	0	0	0	0	0	0
betalactam__CARB8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__CARB9	0	0	0	0	0	0	0	0.000332238	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__CMY10	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000851	0	0	0	0	0	0
betalactam__CMY11	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000868	0	0	0	0	0	0
betalactam__CMY111	0	0	0	0	0	0	0	0	0	0.000156992	0	0	0	0	0	0	0	0	0	0
betalactam__CMY19	0	0	0	0	0	0	0	0	0	0	0	0.000168209	0	0	0	0.0000555	0	0.0000514	0	0
betalactam__CMY2	0	0	0	0	0	0	0	0	0	0.0000757	0	0	0	0	0	0	0	0	0	0
betalactam__CMY37	0	0	0	0	0	0	0	0	0	0.0000801	0	0	0	0	0	0	0	0	0	0
betalactam__CMY41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__CMY51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__CMY79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__CMY99	0	0	0	0	0	0	0	0	0	0	0	0.0000746	0	0	0	0	0	0	0	0
betalactam__CTXM	0	0.0000817	0	0	0	0	0	0	0	0	0.0000736	0	0	0	0	0	0	0	0	0
betalactam__CTXM14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00020303	0	0	0
betalactam__CTXM15	0	0	0	0	0	0	0	0	0	0	0.0000994	0	0	0	0	0.0000684	0	0	0	0
betalactam__CTXM55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000108144	0	0	0	0
betalactam__CTXM62	0	0	0	0	0	0	0	0.000143156	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__CfxA2	0.000342397	0.000421544	0.00049085	0.001124337	0.000200457	0.0009681	0.000147809	0.000259555	0	0.000389786	0.000625492	0.00043755	0.00017718	0.00091521	0.0000987	0.000750285	0.0000808	0.000539216	0.000320838	0.000226445
betalactam__CfxA3	0	0.0000882	0	0.00018835	0	0.000612472	0	0	0	0	0	0.0000868	0	0	0	0.000098	0	0	0.000162056	0.000215662
betalactam__FEZ1	0.000253239	0	0	0	0	0.00024534	0	0.000189273	0.0000676	0	0.000192875	0.0000807	0	0	0	0.0000592	0.000115444	0.0000696	0.000288813	0
betalactam__FOX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__FOX5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000937	0	0	0	0	0	0
betalactam__FOX8	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000886	0	0	0	0	0	0
betalactam__GES10	0	0	0	0	0	0	0	0	0	0	0	0	0.0000961	0	0	0	0	0	0	0
betalactam__GES11	0	0.0000513	0.000547093	0.000104966	0	0	0	0	0	0	0	0.0000987	0	0	0	0	0	0	0	0
betalactam__GES12	0	0.000246592	0.00013934	0	0.000112102	0	0	0	0	0	0	0	0.000132113	0	0	0	0	0	0.0000915	0
betalactam__GES13	0.000190508	0.000483319	0.00055736	0.000212813	0.000409517	0.000373652	0	0.000222264	0.000215732	0.000157372	0.000401207	0.000475516	0.000530454	0.000346714	0.000331321	0.000400563	0.000281482	0.000201032	0.000360677	0.00017057
betalactam__GES14	0.000767864	0.000881811	0.000136553	0.000320295	0.00067719	0.000689047	0.000199593	0.000337931	0.000357709	0.000416823	0.000298385	0.0000991	0.0007006	0.000330204	0.000277227	0.000223778	0.000829742	0.000492528	0.000269135	0.0000861
betalactam__GES15	0.001794274	0.002501424	0.001764045	0.001749799	0.002505147	0.001737684	0.000774181	0.001158946	0.001180072	0.001261102	0.000762091	0.001458248	0.002107805	0.001967073	0.001446992	0.000221541	0.001770817	0.000585002	0.000529115	0.000506542
betalactam__GES17	0	0	0	0.000404131	0.000219629	0.0000944	0	0	0	0.000178638	0.000116935	0	0	0	0	0	0	0	0.0000531	0.0000844
betalactam__GES18	0	0	0	0	0	0.0000522	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__GES19	0	0.000386656	0	0.000737323	0.000112102	0.0000984	0	0.000335663	0.000182542	0	0	0.0000991	0.000100086	0	0	0	0.00010293	0	0.0000915	0
betalactam__GES20	0.0000972	0	0.00013934	0.000107482	0.000567376	0.000494185	0.000100805	0	0.000180699	0	0.000199595	0	0	0.000693428	0	0.000111889	0.00010293	0	0.000272797	0
betalactam__GES21	0.0000953	0.000398492	0.00021737	0.000268704	0.000100663	0.000578558	0.0000988	0	0.0000903	0.00031687	0.0000988	0.0000991	0	0.000115571	0	0.000219303	0	0	0	0
betalactam__GES3	0	0	0	0	0	0	0	0	0	0.000106332	0	0	0	0	0	0	0	0	0	0
betalactam__GES4	0.0000583	0.0000967	0.000437528	0.000341791	0.000464425	0.000325439	0.000453621	0.000666791	0.000182542	0.000104206	0	0.000198131	0.000196168	0	0.0000902	0.000094	0.00041172	0	0.0000897	0.0000965
betalactam__GES5	0.000192452	0.0000967	0	0.000318145	0	0.000100444	0.000403219	0.000446795	0.000180699	0	0	0	0.000100086	0.000325487	0	0	0.000987288	0.000201032	0.0000915	0
betalactam__IBC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__IMP	0	0.000112775	0	0.0000828	0	0	0	0.000111132	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__IMP11	0	0.00022647	0	0	0.00026264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__IMP13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000985	0	0
betalactam__IMP16	0.00011113	0.000685853	0	0	0.000266911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__IMP18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__IMP19	0	0	0	0.000248282	0	0	0	0	0	0	0	0	0	0	0	0	0.000120085	0	0	0
betalactam__IMP2	0	0.000239358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000120085	0	0	0
betalactam__IMP20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000858	0	0	0
betalactam__IMP21	0	0	0	0	0.00013132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__IMP22	0	0.0000783	0	0.000341075	0.000109433	0.000114841	0	0	0	0.0000992	0	0	0	0	0	0	0	0	0	0
betalactam__IMP24	0	0.000112775	0	0	0	0.000229682	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__IMP28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__IMP29	0.00011113	0.000112775	0	0	0	0.000187496	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__IMP33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__IMP37	0	0	0.00031928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__IMP4	0	0	0	0	0	0	0	0	0	0	0	0.000231153	0	0	0	0	0	0	0	0
betalactam__IMP5	0.000113398	0.000336022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__IMP7	0.00011113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__IMP8	0	0.000112775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000858	0	0	0
betalactam__IMP9	0	0.000113235	0	0	0	0	0	0	0	0.000104631	0	0	0	0	0	0	0	0	0	0
betalactam__JOHN1	0	0.000378971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__KHM1	0	0	0	0	0.000122602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__LCR1	0.000918416	0.000679409	0.001771891	0.000979992	0.000702057	0.00024836	0.000609776	0.000245345	0.0002361	0.000234749	0.000990339	0.001581249	0.001321332	0.001353836	0.000766285	0.001086874	0	0.000714544	0.000697237	0.000460249
betalactam__LEN21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000323367	0	0	0	0
betalactam__LRA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000100139	0	0	0
betalactam__LRA12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000109598	0	0	0	0
betalactam__LRA17	0.0000569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000615	0	0	0
betalactam__LRA19	0	0	0	0	0.0000722	0	0	0	0	0	0.0000868	0	0	0.000338459	0	0	0	0	0	0.0000725
betalactam__LRA2	0.0000905	0	0	0.000102143	0	0	0	0	0	0	0	0.0000941	0	0	0	0	0	0	0	0.0000802
betalactam__LRA8	0	0	0	0	0	0	0	0.0000875	0	0	0	0	0	0	0.0000551	0	0	0	0	0
betalactam__MOX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000132051	0
betalactam__MOX3	0	0	0	0	0	0	0.000145412	0	0	0	0	0.0000655	0	0	0	0	0	0	0	0
betalactam__MOX4	0	0	0	0	0	0	0	0	0	0	0.000139355	0	0	0	0.000167643	0	0	0	0	0
betalactam__MOX5	0	0.000147826	0	0.0000548	0	0.000150535	0	0	0	0	0	0.000291	0.0000735	0	0	0	0	0	0	0.0000568
betalactam__MOX6	0	0.000291218	0.000104414	0	0	0.000147524	0	0	0	0.00015936	0	0.000146985	0	0	0	0.0000838	0.0000787	0	0	0
betalactam__MOX7	0.000288427	0.000272	0.0000961	0.0000805	0	0.000147524	0	0	0	0.000156173	0.000146545	0.0001455	0.000221997	0	0	0.0000805	0.0000771	0	0	0.0000646
betalactam__NDM19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__NDM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__NPS1	0.000105146	0.000106702	0.000150734	0.000427115	0	0	0.000109048	0.000250352	0.000201499	0	0.000320469	0.000104979	0.001674865	0.000505085	0	0.000358174	0	0.000213032	0.000200077	0.000188283
betalactam__OKPB	0	0	0	0	0	0	0	0	0	0	0.00019827	0	0	0	0	0	0	0	0	0
betalactam__OXA1	0.000479686	0.001046501	0.002118997	0	0.0000933	0.000134528	0	0	0	0.000108359	0.000416337	0.000772165	0.000882307	0	0.000150935	0	0.000256175	0	0	0.000431491
betalactam__OXA10	0.002328421	0.004870454	0.003610548	0.003921887	0.002869547	0.00203062	0.002857224	0.003415176	0.001638291	0.00215893	0.002574442	0.003048824	0.004570449	0.002629115	0.001449315	0.005225634	0.00247878	0.004445162	0.002642389	0.001650619
betalactam__OXA101	0	0.000319271	0.000150341	0	0.000246842	0.0000694	0	0.000119905	0	0.00022716	0	0	0	0	0	0	0	0	0	0
betalactam__OXA11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121591	0	0.000111056	0	0.0000968	0
betalactam__OXA118	0.000167794	0.000202205	0	0.000294556	0.000120953	0	0	0.00019087	0.000155176	0.000114727	0	0.000209498	0	0	0	0	0.000113323	0	0.000193588	0.0000502
betalactam__OXA119	0.000622936	0.000523605	0.000294667	0.000895265	0.000607232	0.000429161	0.000287134	0.000721879	0.001179733	0.001250525	0.000215353	0.000506643	0.000209495	0.000475879	0.000238318	0	0.000564346	0.000960879	0.0000672	0.000278843
betalactam__OXA12	0	0.00010723	0	0.000114509	0	0	0	0	0	0	0	0	0	0.00025128	0	0	0	0	0	0
betalactam__OXA129	0.000156718	0.00114083	0.000296559	0.000115533	0.000853334	0.000317426	0	0.000314487	0.000194234	0.000114297	0.000424758	0	0.00071435	0	0.00115321	0.00023573	0.00011064	0	0	0
betalactam__OXA13	0.00050548	0.000487421	0.000147334	0.000115967	0.000362858	0.000145221	0.000106588	0.000721879	0.000194964	0.000339592	0.000293663	0.000489541	0.00042331	0	0	0.000478061	0.000897515	0.000861104	0.000389152	0.000364355
betalactam__OXA141	0	0	0	0	0	0	0	0	0	0	0	0.000101321	0	0	0	0.000343308	0	0	0	0
betalactam__OXA142	0.000102774	0.000106424	0	0	0.000120953	0.000197241	0.00024798	0	0	0.000112432	0.000187074	0.000164606	0.000317482	0.00012724	0	0.000296977	0.000333168	0.00040127	0.000343718	0.000321599
betalactam__OXA145	0.000105267	0	0	0	0	0	0	0.000240716	0	0	0	0	0	0	0	0	0	0	0.0000972	0
betalactam__OXA147	0.000408999	0.000210719	0	0.000227295	0.000599827	0.000424826	0.000430702	0.000714538	0.000294436	0.00022716	0.000108764	0.000530158	0.000215974	0	0	0.000236616	0.000333168	0.000212565	0.000487921	0
betalactam__OXA15	0	0	0	0	0	0	0	0	0	0	0.00017464	0.0000827	0	0	0	0	0	0	0	0
betalactam__OXA164	0	0	0.000282791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__OXA17	0.000205548	0.000295858	0.000628424	0.000215698	0	0	0.000108763	0.000239811	0	0	0.0000957	0.000209498	0.000095	0.000503871	0.000107	0.000357339	0	0.000212565	0.0000968	0
betalactam__OXA178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000206358	0	0
betalactam__OXA18	0.000198821	0	0	0	0	0	0	0	0.0002848	0	0	0	0	0	0	0	0	0.000511922	0	0
betalactam__OXA183	0	0	0	0	0.000241905	0	0	0.000119905	0	0	0	0	0	0.00012724	0	0	0.000111056	0	0.0000968	0
betalactam__OXA19	0.000205548	0	0	0	0	0	0	0	0	0	0.000106589	0	0	0	0	0	0	0	0	0
betalactam__OXA2	0.000131584	0.000371218	0	0	0.000151761	0.000133259	0.000403942	0.000268795	0.00037193	0.00043185	0.000191055	0.000399656	0.000222209	0.001130291	0.000448533	0.001126956	0.000287219	0.000133354	0.000314164	0.000300506
betalactam__OXA20	0	0.000210719	0	0.000231934	0.000123421	0	0.000106588	0.000122352	0.000190985	0.000114727	0	0.000106887	0	0	0	0	0	0	0	0.000185895
betalactam__OXA205	0.001096955	0.000764122	0.000484097	0.000134522	0.000170321	0.000212413	0.000187072	0.000494304	0.000716195	0.000357948	0.000419829	0.000209498	0.00016846	0.000251936	0.000238318	0	0.000419293	0.000212565	0.000195564	0.000254677
betalactam__OXA209	0.000804295	0.0006137	0.002431544	0.001492824	0.002475431	0.003396171	0.000686319	0.00039435	0.000569747	0.000162611	0.002709401	0.000892387	0.000616426	0.001882524	0.00023136	0.000288306	0.00119475	0.000522213	0.001286786	0.00314375
betalactam__OXA21	0	0.000891467	0.000689292	0.000886156	0	0.000207558	0.000208303	0	0.000190508	0.0000999	0	0.000508672	0	0.000103384	0.000922075	0.000114436	0.000964601	0.000623118	0.0000955	0.000201389
betalactam__OXA211	0	0	0	0	0	0	0	0	0	0	0	0.000307147	0	0	0	0	0	0	0	0
betalactam__OXA212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__OXA223	0	0	0	0.000105826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__OXA225	0	0	0	0.000108474	0	0	0	0	0	0	0	0	0.000206228	0	0	0	0	0	0	0
betalactam__OXA226	0	0.000102941	0	0	0	0.000102731	0.000174638	0	0	0.000110972	0	0.0000972	0	0	0	0.000116772	0.000186343	0.000197216	0	0
betalactam__OXA240	0.000104871	0	0	0	0	0	0	0	0	0	0	0.000106887	0	0	0	0	0	0	0	0
betalactam__OXA251	0	0.0000745	0	0.000113648	0.0000839	0	0.000228402	0.000119905	0	0.000160618	0	0.000104749	0	0	0.0000632	0	0.000113323	0.0000737	0	0.000130127
betalactam__OXA27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000232208	0	0	0	0	0
betalactam__OXA28	0.000104871	0.00020859	0	0.000115967	0	0.000108374	0	0.000119905	0	0.000112432	0.000106589	0.000314247	0	0	0.000243182	0	0	0	0.000485946	0
betalactam__OXA29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000239031	0	0	0	0
betalactam__OXA3	0.000152159	0.000203823	0.000645666	0	0	0	0.000309298	0.000229595	0.000481081	0.000110972	0	0.000299827	0.000307092	0.000369228	0.000115259	0.000116772	0.000646721	0	0.000187253	0.0000881
betalactam__OXA309	0	0	0	0.000135097	0	0	0	0	0	0	0	0.000203381	0	0	0	0	0	0	0	0
betalactam__OXA324	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0
betalactam__OXA331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__OXA334	0	0	0	0	0	0	0	0	0	0	0	0.0000975	0	0	0	0	0	0	0	0
betalactam__OXA34	0	0	0	0	0	0.000112169	0.00011032	0.000235545	0.000102955	0	0	0	0	0	0	0.00012495	0.000112599	0.000211029	0.000290329	0
betalactam__OXA35	0	0	0	0	0.0000889	0	0.000106588	0	0	0	0	0	0	0.00012724	0	0	0	0	0	0
betalactam__OXA354	0	0	0	0	0	0	0	0	0	0	0	0.000102063	0	0	0	0	0	0	0	0
betalactam__OXA36	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000134833	0	0	0	0	0	0
betalactam__OXA37	0.000100677	0	0	0	0	0.000108374	0	0	0	0	0	0	0	0.000119606	0.000192114	0	0	0	0	0
betalactam__OXA4	0	0	0.000130404	0	0	0	0	0	0	0	0	0	0	0.00012263	0.000229684	0	0	0	0	0
betalactam__OXA46	0.01169946	0.005201991	0.005673852	0.004077396	0.002154932	0.002449252	0	0.008899912	0.005429158	0.006355877	0	0	0	0.000124695	0	0	0.002746938	0	0.000195564	0.001087488
betalactam__OXA47	0.000297151	0.000763104	0.000956297	0	0.00011657	0.00041779	0	0	0	0	0	0.000304921	0.000407973	0	0	0	0	0	0	0.000175577
betalactam__OXA5	0.00078568	0.001734571	0	0.000515275	0.001099252	0.000105809	0.000212377	0	0	0	0	0.000210843	0.000105431	0.000499449	0.000358561	0	0	0	0	0.000183347
betalactam__OXA53	0	0.000302646	0.000427536	0.000545154	0	0.000205461	0	0.000118348	0	0	0.000206201	0.0000558	0	0	0.00034813	0.000105094	0.000328841	0.0000839	0	0
betalactam__OXA56	0	0	0	0	0	0	0	0.000119905	0	0.0000872	0	0	0	0	0	0	0	0	0	0
betalactam__OXA58	0	0	0	0	0	0	0	0	0	0	0.00021377	0	0	0	0	0	0	0	0	0
betalactam__OXA7	0.000255886	0	0	0	0	0.000106206	0	0	0	0	0	0	0	0	0	0	0.0000612	0	0.0000514	0
betalactam__OXA84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000103179	0	0
betalactam__OXA9	0.000150926	0	0.001602263	0.000110329	0.000475299	0.000393845	0.00018755	0.000354718	0.0000948	0.000445577	0.001260501	0.001451055	0.001142683	0.000434114	0.00103352	0.000687897	0.000592285	0.000170856	0.000547562	0.000176858
betalactam__PBP1A	0	0.0000394	0	0	0.0000728	0	0	0	0	0	0	0.0000177	0	0	0	0.0000735	0	0.0000333	0	0
betalactam__PBP1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__PBP2X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__PER1	0	0	0	0	0.000106591	0	0	0	0	0	0	0.000182776	0.000182793	0	0	0	0	0	0	0
betalactam__PER3	0	0	0	0	0	0	0	0	0	0	0	0	0.000182793	0	0	0	0	0	0	0
betalactam__PER4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__PER5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__PER7	0	0	0	0	0	0	0	0.000074	0	0	0	0	0	0	0	0	0	0	0	0.0000578
betalactam__PSE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__RTG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__RTG5	0	0.000188091	0.000131513	0	0	0	0	0	0	0	0	0.0000954	0	0	0	0	0	0	0	0
betalactam__SHV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__SHV12	0	0	0	0	0	0	0	0.000116651	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__SHV39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__SHV4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__SHV53	0	0	0	0	0	0	0	0.000131797	0	0	0	0	0	0	0	0	0	0	0	0
betalactam__SIM1	0.001837041	0.001930976	0.003176488	0.001675279	0.002108594	0.00165465	0.000230507	0.00097108	0.001142273	0.000838608	0.000679767	0.000231153	0.000896768	0.000272418	0.001030775	0.000146202	0.000487692	0.00022281	0.000209327	0.000198999
betalactam__TEM1	0.0000975	0	0.000155519	0	0.000130278	0	0	0	0	0	0.000214117	0	0	0	0	0	0	0	0	0.0000657
